LeetcodeId,Title,Acceptance,Difficulty,Frequency,Topic,Company
295,Find Median from Data Stream    ,0.354,Hard,10,Design|Heap,google|amazon|facebook|microsoft|bloomberg|uber|apple|yahoo|snapchat|twitter|oracle|ebay|walmart-labs|expedia|pinterest|zillow|two-sigma|akuna capital|Pony.ai
975,Odd Even Jump    ,0.5,Hard,10,Dynamic Programming|Stack|Binary Search Tree,google
621,Task Scheduler    ,0.447,Medium,10,Greedy |Array|Queue,google|facebook|microsoft|uber|apple|nutanix|rubrik
393,UTF-8 Validation    ,0.355,Medium,10,Bit Manipulation,google|facebook|apple|nvidia|palantir-technologies
41,First Missing Positive    ,0.284,Hard,10,Array,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|alibaba|airbnb|baidu|vmware|expedia|pocket-gems|databricks
13,Roman to Integer    ,0.518,Easy,10,Math|String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|alibaba|baidu|goldman-sachs|oracle|tencent|yelp|expedia|zenefits|paypal|zillow|pocket-gems|intuit|mathworks|works-applications|aetion|coursera|qualtrics|pure storage|riot-games|cloudera
151,Reverse Words in a String    ,0.161,Medium,10,String,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|alibaba|baidu|snapchat|goldman-sachs|yelp|walmart-labs|salesforce|cisco|paypal|zillow|pocket-gems|nvidia|yandex|huawei|servicenow|qualcomm
127,Word Ladder    ,0.233,Medium,9,breadth-first-search,google|amazon|facebook|microsoft|bloomberg|adobe|uber|apple|linkedin|yahoo|airbnb|snapchat|twitter|oracle|ebay|yelp|salesforce|lyft|expedia|zillow|two-sigma|hulu|square|affirm
380,Insert Delete GetRandom O(1)    ,0.422,Medium,9,HashTable|Array|Design,google|amazon|facebook|microsoft|bloomberg|uber|apple|linkedin|twitter|yelp|walmart-labs|pocket-gems|two-sigma|indeed|quora|databricks
843,Guess the Word    ,0.426,Hard,9,Minimax,google|amazon|facebook|airbnb
